street,coordinates
Коммунистическая улица,"[(55.9385639, 54.7275609), (55.9386706, 54.7275424), (55.9398587, 54.7273365), (55.9400617, 54.7273014), (55.9401367, 54.7272884), (55.9406929, 54.7271906), (55.9412188, 54.7271009), (55.941464, 54.7270584)]"
бульвар Тухвата Янаби,"[(56.1244091, 54.7801335), (56.1244053, 54.7810213)]"
бульвар Тухвата Янаби,"[(56.1244091, 54.7801335), (56.1244095, 54.7800443), (56.1244118, 54.7794945)]"
бульвар Баландина,"[(56.1244091, 54.7801335), (56.1240232, 54.7801345), (56.1216117, 54.780141)]"
Трамвайная улица,"[(56.0666759, 54.7974946), (56.0668395, 54.7975037), (56.0706384, 54.7977141), (56.0717163, 54.7977649), (56.0768505, 54.7980492)]"
Уфимское шоссе,"[(56.0666759, 54.7974946), (56.0662889, 54.7970976), (56.0653867, 54.7961719), (56.0633902, 54.7942403), (56.0622057, 54.7930943), (56.0611165, 54.7920361), (56.0605084, 54.7914612)]"
Уфимское шоссе,"[(56.0771102, 54.7980744), (56.077144, 54.7981315), (56.0771639, 54.7981665), (56.077196, 54.7982215)]"
Трамвайная улица,"[(56.0771102, 54.7980744), (56.0778819, 54.7981183), (56.0821051, 54.7983492), (56.086998, 54.7986201), (56.0901093, 54.7987923)]"
Уфимское шоссе,"[(56.0381884, 54.7811396), (56.037275, 54.7812669)]"
Уфимское шоссе,"[(56.0381884, 54.7811396), (56.038458, 54.7812337), (56.0386088, 54.7812893), (56.0388569, 54.7813889), (56.0398204, 54.7817759), (56.0402469, 54.7819317)]"
Уфимское шоссе,"[(56.0574224, 54.7883183), (56.0577172, 54.7886155)]"
улица Новожёнова,"[(56.0574224, 54.7883183), (56.059717, 54.7876156), (56.0618289, 54.7869993), (56.0623036, 54.7868608), (56.0625419, 54.7867912), (56.0636146, 54.7864507)]"
Уфимское шоссе,"[(56.0574224, 54.7883183), (56.0573532, 54.7882671), (56.0569847, 54.787994), (56.0565504, 54.7877755), (56.0557412, 54.7874434), (56.0539961, 54.7867272)]"
Комсомольская улица,"[(56.0144355, 54.7590345), (56.0145656, 54.7591319), (56.0150133, 54.7593297)]"
Комсомольская улица,"[(56.0144355, 54.7590345), (56.0142988, 54.758932), (56.0136216, 54.7584399), (56.0127856, 54.7578306), (56.0124928, 54.7576171), (56.0123889, 54.7575353)]"
улица Шафиева,"[(56.0144355, 54.7590345), (56.0141807, 54.7591445), (56.0135972, 54.7593959), (56.0122064, 54.7599954), (56.0112653, 54.7604011), (56.0111061, 54.7604697)]"
улица Шафиева,"[(56.0144355, 54.7590345), (56.0146809, 54.7589472), (56.0147749, 54.7589124), (56.0169251, 54.758009)]"
Чудская улица,"[(56.0539961, 54.7867272), (56.0533859, 54.784668), (56.0531537, 54.7838843), (56.0529026, 54.7829994), (56.0528488, 54.7826526), (56.052851, 54.7825212)]"
Уфимское шоссе,"[(56.0539961, 54.7867272), (56.0557412, 54.7874434), (56.0565504, 54.7877755), (56.0569847, 54.787994), (56.0573532, 54.7882671), (56.0574224, 54.7883183)]"
Уфимское шоссе,"[(56.0539961, 54.7867272), (56.0527418, 54.7862662), (56.0520047, 54.7859665), (56.0511605, 54.7856236), (56.0509445, 54.7855358), (56.0507887, 54.7854771), (56.0504849, 54.7853452), (56.050251, 54.7852783), (56.0496746, 54.7851136), (56.0492925, 54.7850129), (56.0481428, 54.7846758), (56.0479237, 54.7846132), (56.0474248, 54.7844707), (56.0469444, 54.7843448), (56.0460346, 54.7841063)]"
Самаркандская улица,"[(56.052997, 54.7811238), (56.0531644, 54.7811761)]"
Сипайловская улица,"[(56.052997, 54.7811238), (56.0528714, 54.7805964)]"
Сипайловская улица,"[(56.052997, 54.7811238), (56.0529591, 54.781338)]"
Златоустовская улица,"[(55.9634675, 54.7525498), (55.9635425, 54.7524891), (55.963786, 54.752292), (55.9646471, 54.7514151)]"
улица Ленина,"[(55.9634675, 54.7525498), (55.9632216, 54.7524394), (55.9630779, 54.7523475), (55.9628706, 54.7521842)]"
,"[(55.9634675, 54.7525498), (55.9634097, 54.7526743), (55.9636596, 54.7533665), (55.9634715, 54.7535317), (55.9633973, 54.7536118), (55.9633565, 54.7536476), (55.9630561, 54.7539113), (55.9628224, 54.7540386)]"
Речная улица,"[(55.9634675, 54.7525498), (55.963598, 54.7526339), (55.9639827, 54.7527344), (55.9645177, 54.7529553)]"
улица Пархоменко,"[(55.9730547, 54.7485375), (55.9733995, 54.7485056)]"
улица Пархоменко,"[(55.9730547, 54.7485375), (55.9728448, 54.748539), (55.972707, 54.7485263), (55.9725786, 54.7485157), (55.9724528, 54.7484909), (55.9723237, 54.7484597), (55.9721676, 54.7484196), (55.972007, 54.7483676), (55.9718031, 54.7482695), (55.9716382, 54.7481544), (55.9714091, 54.7478835), (55.9711146, 54.7475435)]"
,"[(56.0680052, 54.7739182), (56.0677198, 54.7737561), (56.0675012, 54.7735953), (56.0664896, 54.7730624), (56.0650389, 54.772298), (56.0649581, 54.7722516)]"
улица Академика Королёва,"[(56.0680052, 54.7739182), (56.067758, 54.7739297), (56.0665136, 54.7739792)]"
улица Академика Королёва,"[(56.0680052, 54.7739182), (56.0684724, 54.7739028), (56.0691645, 54.7738815), (56.0697849, 54.773866), (56.0702801, 54.7738541), (56.0712615, 54.7738153), (56.0734115, 54.7737484), (56.0735066, 54.7737446), (56.0735596, 54.7737412), (56.0736264, 54.7737412), (56.073809, 54.7737372), (56.0760796, 54.7736568), (56.0773037, 54.7736252), (56.078617, 54.7735982), (56.0789455, 54.7736222)]"
улица Академика Королёва,"[(56.0649345, 54.7740985), (56.0650596, 54.7740272)]"
улица Маршала Жукова,"[(56.0649345, 54.7740985), (56.0646615, 54.7739496), (56.0616421, 54.7723527), (56.060016, 54.7714738), (56.0589151, 54.7708591), (56.0587751, 54.7707881), (56.0581149, 54.7704316)]"
улица Менделеева,"[(55.9968599, 54.713339), (55.997154, 54.7134432), (55.9989679, 54.7140861), (55.9990729, 54.7141233), (55.9998201, 54.7143882), (56.0014535, 54.7149671), (56.0015602, 54.7150048), (56.0023986, 54.7153154), (56.0026593, 54.7154238)]"
Бакалинская улица,"[(55.9968599, 54.713339), (55.9967704, 54.7133914), (55.9967365, 54.7134112), (55.9966613, 54.7134611)]"
Бакалинская улица,"[(55.9968599, 54.713339), (55.9976062, 54.7129459), (55.997735, 54.712878), (55.9979424, 54.7127727), (55.9982762, 54.7126032), (55.9988143, 54.7123526)]"
улица Менделеева,"[(55.988978, 54.711489), (55.9896717, 54.711606)]"
,"[(55.988978, 54.711489), (55.9889734, 54.7115087), (55.988969, 54.7115277), (55.9889595, 54.7115686)]"
Белорусская улица,"[(55.988978, 54.711489), (55.9887988, 54.7113779), (55.9885529, 54.7112797), (55.9872478, 54.7108941), (55.9872003, 54.7108793), (55.9871609, 54.7108698), (55.9871187, 54.7108621), (55.9870828, 54.7108573), (55.9870362, 54.7108504), (55.9870124, 54.7108457), (55.9869916, 54.7108412), (55.9869698, 54.7108359), (55.9868365, 54.7107965), (55.9862754, 54.7106307), (55.9858785, 54.7105134), (55.9858545, 54.7105056), (55.9858349, 54.7104995), (55.9858141, 54.710493), (55.9857584, 54.7104744), (55.9850842, 54.7102755)]"
улица Цюрупы,"[(55.9493283, 54.7184436), (55.9493503, 54.7185186)]"
улица Цюрупы,"[(55.9493283, 54.7184436), (55.9493021, 54.7183597), (55.9492015, 54.7181791), (55.9486437, 54.7171752), (55.9486193, 54.7171313), (55.9481827, 54.7163713), (55.9481743, 54.7163542), (55.9481461, 54.7163074)]"
улица Заки Валиди,"[(55.9493283, 54.7184436), (55.9495322, 54.7183978), (55.9501136, 54.7181716), (55.95129, 54.7176933), (55.9515825, 54.7175702), (55.9520392, 54.7173727), (55.9524067, 54.7172179), (55.9525759, 54.7171469)]"
улица Цюрупы,"[(55.9516168, 54.7234743), (55.9516389, 54.7234952)]"
улица Октябрьской Революции,"[(55.9516168, 54.7234743), (55.9513738, 54.7235212), (55.9496598, 54.7238359), (55.9486096, 54.72403), (55.9482449, 54.7240973)]"
улица Цюрупы,"[(55.9516168, 54.7234743), (55.9515375, 54.7233182), (55.9513889, 54.7229778), (55.9512918, 54.7227574), (55.9507707, 54.7216124), (55.9505097, 54.7210255), (55.9504733, 54.7209516)]"
улица Цюрупы,"[(55.9533569, 54.7251709), (55.9532392, 54.7250217), (55.9516764, 54.7235334), (55.9516389, 54.7234952)]"
Коммунистическая улица,"[(55.9533569, 54.7251709), (55.9530726, 54.7252148), (55.9518181, 54.7254126), (55.950417, 54.7256326)]"
улица Цюрупы,"[(55.9533569, 54.7251709), (55.953457, 54.7253181), (55.9537312, 54.7258476), (55.9539376, 54.7262688), (55.9541405, 54.7266828), (55.9545266, 54.7275146), (55.954573, 54.7276147)]"
Коммунистическая улица,"[(55.9533569, 54.7251709), (55.9536343, 54.7251284), (55.9540739, 54.7250607), (55.954616, 54.7249774), (55.9553373, 54.7248665)]"
улица Пушкина,"[(55.945383, 54.7218414), (55.9455884, 54.7218095), (55.9469859, 54.7215923), (55.9471392, 54.7215674)]"
улица Пушкина,"[(55.945383, 54.7218414), (55.9451164, 54.7218867), (55.9444332, 54.7220042), (55.9432987, 54.7221983), (55.9426663, 54.7223066), (55.9424992, 54.7223352)]"
улица Ленина,"[(55.945383, 54.7218414), (55.9454613, 54.7219791), (55.9457799, 54.7226567), (55.9462189, 54.7235471), (55.9462959, 54.7237073)]"
Сочинская улица,"[(55.9623419, 54.711069), (55.9625675, 54.7109143), (55.9627049, 54.7108265), (55.9629138, 54.7107314)]"
улица Октябрьской Революции,"[(55.9575116, 54.7203505), (55.9534858, 54.7224762), (55.9518171, 54.723367), (55.9516168, 54.7234743)]"
Новомостовая улица,"[(55.9575116, 54.7203505), (55.9573819, 54.7203168), (55.9572774, 54.7202897), (55.9571006, 54.7202477), (55.9569436, 54.7202105), (55.9566983, 54.7201551), (55.9564431, 54.7200872), (55.9562681, 54.7200208), (55.9549796, 54.7190883)]"
,"[(55.9575116, 54.7203505), (55.9574367, 54.7204411), (55.9535268, 54.7225062), (55.9518368, 54.7233888), (55.9516389, 54.7234952)]"
улица Октябрьской Революции,"[(55.9466287, 54.724396), (55.9467499, 54.7243736), (55.9471881, 54.7242926), (55.9481247, 54.7241196), (55.9482449, 54.7240973)]"
улица Ленина,"[(55.9466287, 54.724396), (55.9467095, 54.7245702), (55.9469353, 54.7250501), (55.9473767, 54.7259873), (55.9474304, 54.7261015)]"
Новомостовая улица,"[(55.9507109, 54.7156986), (55.9507729, 54.7157493), (55.9507946, 54.7157681), (55.9515918, 54.7164207), (55.9517914, 54.7165672), (55.9522036, 54.7168713), (55.952349, 54.7169786), (55.9524344, 54.7170416), (55.9525124, 54.7170991), (55.9525759, 54.7171469)]"
улица Тукаева,"[(55.9507109, 54.7156986), (55.9504989, 54.7157429), (55.9492407, 54.716032), (55.9486297, 54.7161799)]"
Новомостовая улица,"[(55.9525759, 54.7171469), (55.9526577, 54.717208)]"
Новомостовая улица,"[(55.9525759, 54.7171469), (55.9525124, 54.7170991), (55.9524344, 54.7170416), (55.952349, 54.7169786), (55.9522036, 54.7168713), (55.9517914, 54.7165672), (55.9515918, 54.7164207), (55.9507946, 54.7157681), (55.9507729, 54.7157493), (55.9507109, 54.7156986)]"
улица Заки Валиди,"[(55.9525759, 54.7171469), (55.9526804, 54.7171), (55.9547689, 54.7162367), (55.9558312, 54.7157855), (55.9565617, 54.7154384)]"
улица Пушкина,"[(55.9549796, 54.7190883), (55.9548908, 54.7191249), (55.9535867, 54.7196617), (55.9516696, 54.7204508), (55.9516348, 54.7204651), (55.9512523, 54.7206226), (55.9506449, 54.7208761), (55.9504733, 54.7209516)]"
Новомостовая улица,"[(55.9549796, 54.7190883), (55.9549219, 54.7190441), (55.9542832, 54.7185211), (55.9533016, 54.7177439), (55.9529988, 54.7174915), (55.9527016, 54.7172449), (55.9526577, 54.717208)]"
улица Пушкина,"[(55.9549796, 54.7190883), (55.9551174, 54.7189395), (55.9556821, 54.7185305), (55.9561867, 54.718156), (55.956484, 54.7179353), (55.9570272, 54.7175322), (55.9587863, 54.7162267), (55.9589584, 54.7161193)]"
Новомостовая улица,"[(55.9549796, 54.7190883), (55.9562681, 54.7200208), (55.9564431, 54.7200872), (55.9566983, 54.7201551), (55.9569436, 54.7202105), (55.9571006, 54.7202477), (55.9572774, 54.7202897), (55.9573819, 54.7203168), (55.9575116, 54.7203505)]"
улица Аксакова,"[(55.9323034, 54.7211728), (55.9323591, 54.7212863)]"
улица Заки Валиди,"[(55.9323034, 54.7211728), (55.9324885, 54.7211432), (55.933297, 54.7210187), (55.9345379, 54.720776), (55.9351262, 54.7206716)]"
Большая Гражданская улица,"[(55.9766921, 54.7447219), (55.9769438, 54.7452871)]"
Большая Гражданская улица,"[(55.9766921, 54.7447219), (55.9766463, 54.7446298), (55.9761002, 54.7435793), (55.9760553, 54.7434928), (55.9757976, 54.7429629), (55.9754653, 54.7422796), (55.9752803, 54.7418991), (55.9750315, 54.7413876), (55.974982, 54.7412872)]"
улица Бабушкина,"[(55.9766921, 54.7447219), (55.9768384, 54.7446997), (55.9790843, 54.7443589), (55.9813162, 54.7440414)]"
улица Рихарда Зорге,"[(55.9818316, 54.7469099), (55.9820974, 54.7470794), (55.9828715, 54.7476692)]"
улица Степана Халтурина,"[(55.9818316, 54.7469099), (55.9820788, 54.7468853), (55.9824643, 54.746838)]"
"['улица Степана Халтурина', 'Большая Гражданская улица']","[(55.9818316, 54.7469099), (55.9816405, 54.7469405), (55.9815598, 54.7469511), (55.98147, 54.746963), (55.9808337, 54.747064), (55.9796418, 54.7472464), (55.9785915, 54.7474072), (55.978813, 54.7477749)]"
улица Рихарда Зорге;Большая Гражданская улица,"[(55.9818316, 54.7469099), (55.9815905, 54.7468333), (55.9776511, 54.7458295), (55.977441, 54.745758), (55.9772509, 54.7456638), (55.9771239, 54.7455693), (55.9770486, 54.745459), (55.9769438, 54.7452871)]"
улица Победы,"[(56.0842392, 54.8148468), (56.0841644, 54.814763), (56.083954, 54.8145253), (56.0838425, 54.8143994), (56.0837602, 54.8143139), (56.0831519, 54.8136139), (56.0831011, 54.8135562), (56.0830799, 54.8135322), (56.082448, 54.812815), (56.0824245, 54.8127883), (56.0817529, 54.812026)]"
Первомайская улица,"[(56.0842392, 54.8148468), (56.0843617, 54.8148116), (56.0850162, 54.8146235)]"
Айская улица,"[(55.981915, 54.7383163), (55.9816914, 54.7378092), (55.9813434, 54.7370427), (55.9810516, 54.7364326), (55.9807064, 54.7357158), (55.980639, 54.7355549)]"
улица 50-летия Октября,"[(55.981915, 54.7383163), (55.9820256, 54.7384215), (55.9821028, 54.7384866), (55.9821826, 54.7385415), (55.9822793, 54.7385946), (55.9824159, 54.7386472), (55.9825959, 54.7387123)]"
,"[(55.9324098, 54.6482347), (55.9323321, 54.6474692), (55.932248, 54.6459845), (55.9322035, 54.6453311), (55.9321632, 54.6448622)]"
,"[(55.9325067, 54.6447897), (55.9325418, 54.6453202), (55.932588, 54.6459784), (55.9327072, 54.6480476)]"
,"[(55.9335561, 54.6806288), (55.9333181, 54.680269), (55.9331854, 54.6790946), (55.9331131, 54.6787875), (55.9330876, 54.6780086), (55.9330839, 54.6779086), (55.9330351, 54.6778475), (55.9329499, 54.6777912), (55.9327398, 54.6777457)]"
,"[(55.9335561, 54.6806288), (55.9334444, 54.6801464), (55.9333556, 54.6793334), (55.933353, 54.6775685), (55.9333449, 54.6719742), (55.9333448, 54.6719289)]"
,"[(55.9503621, 54.7040148), (55.9499303, 54.7033577), (55.9497921, 54.7031584), (55.9492217, 54.7022719)]"
проспект Салавата Юлаева,"[(55.9574553, 54.7137345), (55.9571301, 54.7134104)]"
,"[(55.9574553, 54.7137345), (55.9567507, 54.7132489), (55.9563976, 54.7129814), (55.9561509, 54.7128532)]"
"['Большая Московская улица', 'улица Бехтерева']","[(55.9668791, 54.7106554), (55.9670581, 54.710787), (55.967123, 54.7108459), (55.9671825, 54.7109078), (55.9672598, 54.7110043), (55.9674148, 54.7112239), (55.967514, 54.7113437), (55.9676115, 54.7114614), (55.9676664, 54.7115296), (55.9676938, 54.7115596), (55.9677118, 54.7115776), (55.9677308, 54.7115952), (55.9677681, 54.7116267), (55.9678227, 54.7116683), (55.9679489, 54.711763), (55.9679674, 54.7117762), (55.9680975, 54.711869), (55.9684382, 54.712109), (55.9686491, 54.7122576), (55.9692637, 54.712695), (55.9697131, 54.7129507), (55.970114, 54.7131787), (55.9704056, 54.7133), (55.9704805, 54.713378), (55.9707998, 54.7136161), (55.9716643, 54.714232), (55.9717385, 54.7142849), (55.971962, 54.7144399), (55.9721749, 54.7144952), (55.9724304, 54.7144829), (55.972754, 54.7142738), (55.9730158, 54.714066), (55.9731947, 54.7140513), (55.9737085, 54.7138672), (55.9740947, 54.7138161), (55.9744728, 54.7136535), (55.9753416, 54.7132399), (55.9758772, 54.7130134), (55.9761685, 54.7129646), (55.9767173, 54.7128727), (55.9774896, 54.7126543), (55.9779642, 54.7124405), (55.9780462, 54.7124003), (55.9782886, 54.7122814), (55.9784241, 54.7121489), (55.9785307, 54.7118952), (55.9788786, 54.7117318), (55.9790494, 54.7116313), (55.9792225, 54.7114445), (55.9793077, 54.7112508), (55.9796676, 54.7108693)]"
улица Менделеева,"[(55.9668791, 54.7106554), (55.9666723, 54.7106269), (55.9659964, 54.7104272)]"
