street,coordinates
улица 50 лет СССР,"[(56.0292791, 54.7438956), (56.0294889, 54.7438756)]"
улица Менделеева,"[(56.0292791, 54.7438956), (56.0292537, 54.7438057), (56.0281597, 54.7402571), (56.0280982, 54.7400573)]"
улица 50 лет СССР,"[(56.0292791, 54.7438956), (56.0290904, 54.7439091), (56.0290102, 54.7439153), (56.0288779, 54.7439256), (56.0287906, 54.7439324), (56.0279402, 54.7439983)]"
улица Кирова,"[(55.9723558, 54.7274654), (55.9719588, 54.7266793)]"
улица Кирова,"[(55.9723558, 54.7274654), (55.9707712, 54.7277235)]"
улица Кирова,"[(55.9719588, 54.7266793), (55.9733077, 54.7264591)]"
Амурская улица,"[(55.9719588, 54.7266793), (55.9715996, 54.7258769), (55.9712653, 54.7251301), (55.9712076, 54.7250011)]"
улица Кирова,"[(55.974594, 54.7262672), (55.9748962, 54.727043)]"
Крестьянская улица,"[(55.974594, 54.7262672), (55.9741317, 54.7250569), (55.9742792, 54.7245133)]"
улица Кирова,"[(55.9748962, 54.727043), (55.9752767, 54.727901)]"
улица Кирова,"[(55.9748962, 54.727043), (55.9764586, 54.726801), (55.9766345, 54.7267721)]"
улица Кирова,"[(55.9497969, 54.7310673), (55.9495691, 54.7311034), (55.9489507, 54.7312015), (55.9484986, 54.7312732), (55.9482397, 54.7313142), (55.9469509, 54.7315186), (55.9467786, 54.7315459)]"
улица Ленина,"[(55.9497969, 54.7310673), (55.9498666, 54.7312078), (55.9503212, 54.7321762), (55.9506543, 54.7328589), (55.9509153, 54.7333549), (55.9509697, 54.7334556)]"
улица Кирова,"[(55.9497969, 54.7310673), (55.9499619, 54.7310402), (55.9505214, 54.7309487), (55.9514617, 54.7307835), (55.951872, 54.730718), (55.9525876, 54.7306037), (55.9528123, 54.7305713)]"
улица Авроры,"[(56.0026593, 54.7154238), (56.0029011, 54.7153173)]"
улица Менделеева,"[(56.0026593, 54.7154238), (56.002928, 54.715607)]"
Обская улица,"[(56.0026593, 54.7154238), (56.0025706, 54.7154546), (56.0025408, 54.7154649), (56.0024067, 54.7155123)]"
улица Софьи Перовской,"[(55.9943428, 54.6976183), (55.9945038, 54.6975101), (55.9949895, 54.6971815), (55.9952802, 54.6970012)]"
улица Софьи Перовской,"[(55.9943428, 54.6976183), (55.9940124, 54.6976699), (55.9932333, 54.697792), (55.9912415, 54.6981039), (55.9911002, 54.6981263), (55.9909831, 54.6981444)]"
улица Степана Кувыкина,"[(55.9943428, 54.6976183), (55.9943755, 54.6977697), (55.9946529, 54.6984208), (55.994743, 54.6986227), (55.9947591, 54.6986588), (55.9948133, 54.6988004), (55.9948462, 54.6988933), (55.9949257, 54.6991174)]"
улица Генерала Рыленко,"[(55.9943428, 54.6976183), (55.9939231, 54.6973635), (55.9926088, 54.6963209), (55.991554, 54.6956731), (55.9905435, 54.6952119), (55.9900394, 54.6947373), (55.9896979, 54.6942486), (55.9895841, 54.6939244), (55.9895708, 54.6932817), (55.9895142, 54.6922596), (55.9895641, 54.6906791), (55.9894668, 54.6900255), (55.9892733, 54.6897578)]"
улица Софьи Перовской,"[(55.9870148, 54.6988017), (55.987763, 54.698678)]"
Иглинская улица,"[(55.9870148, 54.6988017), (55.9872723, 54.6993019), (55.9874775, 54.6995992), (55.9876416, 54.6998849)]"
улица Софьи Перовской,"[(55.9870148, 54.6988017), (55.9853472, 54.6990759), (55.985244, 54.6990926)]"
,"[(55.9813216, 54.6997426), (55.9812347, 54.6996781), (55.9811509, 54.6996215), (55.9809451, 54.6994915), (55.9807221, 54.6993521), (55.9796544, 54.6987111), (55.97941, 54.6985684)]"
Софьи Перовской улица,"[(55.9813216, 54.6997426), (55.9809266, 54.6998349), (55.9806954, 54.6999233), (55.980519, 54.7000177)]"
Софьи Перовской улица,"[(55.9813216, 54.6997426), (55.981768, 54.6996709), (55.9831495, 54.6994406)]"
Сочинская улица,"[(55.9735235, 54.7057101), (55.9734523, 54.7058362), (55.9731289, 54.7060599), (55.9714464, 54.7068396)]"
Кавказская улица,"[(55.9735235, 54.7057101), (55.9737583, 54.7057925), (55.9738879, 54.7058509), (55.9752318, 54.7067144), (55.9753957, 54.7068197), (55.975513, 54.7068951), (55.9756948, 54.7070119)]"
Кавказская улица,"[(55.9735235, 54.7057101), (55.9733626, 54.7056578), (55.9727482, 54.7054583)]"
Софьи Перовской улица,"[(55.9735235, 54.7057101), (55.9736647, 54.705491), (55.9737994, 54.7053698), (55.9743914, 54.7048194), (55.9744904, 54.7047494), (55.9747065, 54.7045966), (55.9752425, 54.7042176), (55.9761243, 54.7036313), (55.9767295, 54.7032289)]"
Иглинская улица,"[(55.9878431, 54.7003198), (55.9876416, 54.6998849)]"
Ижевская улица,"[(55.9878431, 54.7003198), (55.9899817, 54.6999657), (55.9909223, 54.6998046), (55.9925469, 54.6995342)]"
Ижевская улица,"[(55.9878431, 54.7003198), (55.987792, 54.7004549), (55.9868281, 54.7006987)]"
Сельская Богородская улица,"[(56.1202752, 54.7880781), (56.1216116, 54.7880919)]"
бульвар Тухвата Янаби,"[(56.1202752, 54.7880781), (56.1212513, 54.7877297), (56.1214838, 54.787595), (56.1217537, 54.7874386), (56.1218519, 54.7873789)]"
Сельская Богородская улица,"[(56.1202752, 54.7880781), (56.1197497, 54.7880796), (56.1193721, 54.7880806), (56.1190238, 54.7880816), (56.1188078, 54.7880894), (56.1185837, 54.7881073), (56.1184332, 54.7881192), (56.1182454, 54.7881341), (56.1155137, 54.7884319)]"
,"[(56.0763576, 54.8599159), (56.0767373, 54.8595729), (56.0774744, 54.8587078), (56.0775425, 54.8586279), (56.0782101, 54.8578005), (56.0786383, 54.8574252), (56.0789878, 54.8572172), (56.0798872, 54.8568397), (56.0802658, 54.8566644)]"
Новоалександровское шоссе,"[(56.0763576, 54.8599159), (56.0750179, 54.8579338), (56.0739362, 54.856244), (56.0735273, 54.8555662), (56.0734268, 54.8553101), (56.0734343, 54.8550532), (56.0734103, 54.8543368), (56.0734003, 54.8539715), (56.0734073, 54.8536435), (56.0735454, 54.8533631), (56.0742559, 54.852726)]"
"['улица Энергетиков', 'Новоалександровское шоссе']","[(56.0763576, 54.8599159), (56.0753089, 54.8611127), (56.0748513, 54.8617357), (56.0736405, 54.8633869), (56.0716935, 54.8665129), (56.0714218, 54.8667569), (56.0703291, 54.8673811), (56.0649057, 54.8701654), (56.0640377, 54.8708245), (56.0614676, 54.8735426), (56.0613496, 54.8738088), (56.0613749, 54.8740994), (56.062327, 54.8773053), (56.0623761, 54.8776027), (56.062316, 54.8779992), (56.0620598, 54.8784938), (56.0608999, 54.8798532), (56.0606163, 54.8801829), (56.0599524, 54.8810667), (56.0595284, 54.8816043), (56.0590353, 54.8821878), (56.0587116, 54.8824181), (56.0583536, 54.8826086), (56.0579174, 54.8827676), (56.057353, 54.8828733), (56.053668, 54.8830817), (56.0531527, 54.8831649), (56.0525473, 54.8833729), (56.0522274, 54.883651), (56.0520594, 54.8839324), (56.051851, 54.8845457), (56.0516201, 54.8854415), (56.0513355, 54.8865199), (56.0512949, 54.8868123), (56.0513198, 54.8871564), (56.0514552, 54.8876171), (56.0525578, 54.8903263), (56.0536711, 54.8929468)]"
Соединительное шоссе,"[(56.0766544, 54.8506529), (56.0768252, 54.8506988), (56.0772708, 54.8507603), (56.079571, 54.8507156), (56.0812629, 54.8507469), (56.0829359, 54.8508096), (56.0835089, 54.8508633)]"
Новоалександровское шоссе,"[(56.0766544, 54.8506529), (56.0768283, 54.8504223), (56.0769071, 54.8502164), (56.0769629, 54.849999), (56.0769137, 54.8496891), (56.0767206, 54.8487302), (56.0765776, 54.8480553), (56.076543, 54.8469556), (56.0764413, 54.8451861), (56.0763747, 54.8447587), (56.0762274, 54.8443244)]"
Новоалександровское шоссе,"[(56.0766544, 54.8506529), (56.0764115, 54.8508286), (56.0758896, 54.8512935), (56.0742559, 54.852726)]"
